name,samecase,ispass,bugfreeid,comments,failnum
高管增持的有哪些股票,NULL,0,0,NULL,0
预盈100%以上，近5日内上涨10%以上,NULL,0,0,NULL,0
 核电股中资金流入最多的股票,NULL,0,0,NULL,0
2012年中报业绩预增>100%,NULL,0,0,NULL,0
融资融券标的股名单,NULL,0,0,NULL,0
当日资金流入最多的股票,NULL,0,0,NULL,0
主营食用油的股票,NULL,0,0,NULL,0
3月22日股价最低的股票,NULL,0,0,NULL,0
"市盈率小于20,连续5年净利润同比增长大于40%",NULL,0,0,NULL,0
最近创30日新高,NULL,0,0,NULL,0
每股现金流量净额超过10元,NULL,0,0,NULL,0
 新三板概念,NULL,0,0,NULL,0
现在股价最低的股票,NULL,0,0,NULL,0
公司市净10倍以上有那些,NULL,0,0,NULL,0
市值最大的股票,NULL,0,0,NULL,0
保险股,NULL,0,0,NULL,0
手机支付相关个股,NULL,0,0,NULL,0
主营产品包括商铺,NULL,0,0,NULL,0
pe最高的浙江省的上市公司,NULL,0,0,NULL,0
"股价<15,总市值<50亿，市盈率<15,市净率<2",NULL,0,0,NULL,0
券商股票有哪些,NULL,0,0,NULL,0
2012年6月涨幅最高的股票,NULL,0,0,NULL,0
十大股东持股占总股本50%以上毛利率>30市盈率<50净资产收益>1,NULL,0,0,NULL,0
甘肃地区的股票,NULL,0,0,NULL,0
5日均线上穿20日均线,NULL,0,0,NULL,0
商业零售毛利率最高的企业,NULL,0,0,NULL,0
近3日上涨15%以上,NULL,0,0,NULL,0
融资融券,NULL,0,0,NULL,0
连续3天换手率大于15%的股票,NULL,0,0,NULL,0
2012半年报利润增加100%的,NULL,0,0,NULL,0
每10股转增股本>5股,NULL,0,0,NULL,0
2012年4月大股东增持的股票,NULL,0,0,NULL,0
资金流入最多的股票,NULL,0,0,NULL,0
业绩增长100%,NULL,0,0,NULL,0
今日跌停股,NULL,0,0,NULL,0
市盈率15以下的股票,NULL,0,0,NULL,0
今年一季度收入增长100%以上,NULL,0,0,NULL,0
今年一季度同比增长100以上市现率0-20，市盈率0-16的股票,NULL,0,0,NULL,0
每股收益大于0.5，未分配利润大于2,NULL,0,0,NULL,0
股价最高,NULL,0,0,NULL,0
收入增长30%以上，利润增长40%以上,NULL,0,0,NULL,0
